LANDSYSTEM-KEY,COMP-ID,LS_DESCRIPTION
Anopheles1,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Anopheles2,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Anopheles1,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Anopheles2,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Antrim,SOUTH-1M,"low hills and hills on basalt, agglomerate and tuff, some dolerite; mostly rock rock outcrop with surface stone and pockets of clayey soils"
Antrim1,NORTH-250,"plains and rises on basalt, agglomerate and tuff, some dolerite; clayey soils with surface stone"
Antrim2,NORTH-250,"low hills and hills on basalt, agglomerate and tuff, some dolerite; mostly rock rock outcrop with surface stone and pockets of clayey soils"
Ararat,NORTH-250,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Argadargada,SOUTH-1M,level to gently undulating clay plains (black soil plains); cracking clay soils
Argyle,SOUTH-1M,level to gently undulating clay plains (black soil plains); cracking clay soils
Arndown,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Arnhem,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Arnold,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Ashburton,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Atlas-AB29,SOUTH-1M,level to undulating sandplains with red sands
Atlas-AB53,SOUTH-1M,"dunefields with parallel linear dunes, reticulate dunes and irregular or aligned short dunes; red sands"
Atlas-AB55,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Atlas-AB61,SOUTH-1M,level to undulating sandplains with red sands
Atlas-B32,SOUTH-1M,"dunefields with parallel linear dunes, reticulate dunes and irregular or aligned short dunes; red sands"
Atlas-B33,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Atlas-B43,SOUTH-1M,"dunefields with parallel linear dunes, reticulate dunes and irregular or aligned short dunes; red sands"
Atlas-B44,SOUTH-1M,level to undulating sandplains with red sands
Atlas-BA20,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Atlas-BA21,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Atlas-BA22,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Atlas-BA24,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Atlas-BA25,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Atlas-BA26,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Atlas-BA27,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Atlas-BA30,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Atlas-BA31,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Atlas-BA34,SOUTH-1M,"low hills and hills mostly on granite, gneiss, rhyolite and some schist; common rock outcrop and surface stone with shallow gritty or stony soils"
Atlas-BA38,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Atlas-BA43,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Atlas-BA44,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Atlas-BA5,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Atlas-BB17,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Atlas-BB24,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Atlas-BC3,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Atlas-BV1,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Atlas-BY4,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Atlas-Fa34,SOUTH-1M,"low hills and hills on basalt, agglomerate and tuff, some dolerite; mostly rock rock outcrop with surface stone and pockets of clayey soils"
Atlas-Fc2,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Atlas-Fd1,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Atlas-Fz33,SOUTH-1M,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Atlas-Fz34,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Atlas-II6,SOUTH-1M,level to gently undulating clay plains (black soil plains); cracking clay soils
Atlas-Ld2,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Atlas-Lg1,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Atlas-MM27,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Atlas-MM47,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Atlas-Ms14,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Atlas-Mx31,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Atlas-My109,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Atlas-My110,SOUTH-1M,level to undulating sandplains with red sands
Atlas-My112,SOUTH-1M,level to undulating sandplains with red sands
Atlas-My114,SOUTH-1M,level to undulating sandplains with red sands
Atlas-My128,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Atlas-My129,SOUTH-1M,level to undulating sandplains with red sands
Atlas-My130,SOUTH-1M,level to undulating sandplains with red sands
Atlas-My131,SOUTH-1M,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Atlas-My79,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Atlas-Oc76,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Atlas-Oc78,SOUTH-1M,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Atlas-Oc79,SOUTH-1M,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Atlas-Oc80,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Atlas-Oc82,SOUTH-1M,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Atlas-OO12,SOUTH-1M,salt pans with waterlogged saline clays and fringing dunes
Atlas-SV10,SOUTH-1M,salt pans with waterlogged saline clays and fringing dunes
Austral,SOUTH-1M,level to gently undulating clay plains (black soil plains); cracking clay soils
Baines1,NORTH-250,seasonally flooded coastal floodplains; inundated 3-6 months; poorly drained clay soils
Baines2,NORTH-250,seasonally flooded coastal floodplains; inundated 3-6 months; poorly drained clay soils
Baker,NORTH-250,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Banjo,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Banyan,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Barkly1,SOUTH-1M,level to gently undulating clay plains (black soil plains); cracking clay soils
Barkly2,SOUTH-1M,level to gently undulating clay plains (black soil plains); cracking clay soils
Barkly3,SOUTH-1M,level to gently undulating clay plains (black soil plains); cracking clay soils
Barrow,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Barry,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Bartalumba,NORTH-250,"coastal parabolic dunefields, sandplains, beach ridges and beaches; sandy soils"
Bath,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Batten,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Bedford,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Beemla,NORTH-250,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Beetaloo,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Bend,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Benmara,NORTH-250,level to gently undulating clay plains (black soil plains); cracking clay soils
Berrys-Pass,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Bingbong,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Birdum,NORTH-250,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Birrimbah,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Birrimbah1,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Birrimbah2,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Blain,NORTH-250,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Blue-Mud,NORTH-250,"coastal parabolic dunefields, sandplains, beach ridges and beaches; sandy soils"
Boen,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Bond-Springs,SOUTH-1M,"low hills and hills mostly on granite, gneiss, rhyolite and some schist; common rock outcrop and surface stone with shallow gritty or stony soils"
Boomerang,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Brogden,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Brolga,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Buchanan,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Buckingham,NORTH-250,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Budbudjong,NORTH-250,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Bukalara,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Buldiva,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Buldiva-Scrubby,NORTH-250,elevated plateaux surfaces on deeply weathered sediments and associated sand sheets; sandy and earth soils
Buley,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Bulwaddy,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Bundah,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Bushy-Park,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Bustard,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Caiman,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Caledon,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Callemondah,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Cambell,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Camil,SOUTH-1M,level to undulating sandplains with red sands
Camilrock,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Carpentaria1,NORTH-250,tidal mudflats and coastal floodplains with channels and estuaries; subject to tidal inundation; poorly drained clays and muds
Carpentari2,NORTH-250,tidal mudflats and coastal floodplains with channels and estuaries; subject to tidal inundation; poorly drained clays and muds
Carpentaria-dunes,NORTH-250,"coastal parabolic dunefields, sandplains, beach ridges and beaches; sandy soils"
Cato,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Cavenagh,SOUTH-1M,"low hills and hills mostly on granite, gneiss, rhyolite and some schist; common rock outcrop and surface stone with shallow gritty or stony soils"
Chalanyi,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Chalanyi-colluvial,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Chalanyi-lowlands,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Chandlers,Prosopis_sp.,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Cherry-Creek,SOUTH-1M,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Chinaman,NORTH-250,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Chisholm,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Claravale,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Claravale-Depressed,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Cliffdale,NORTH-250,"low hills and hills on basalt, agglomerate and tuff, some dolerite; mostly rock rock outcrop with surface stone and pockets of clayey soils"
Clifferson,NORTH-250,"low hills and hills on basalt, agglomerate and tuff, some dolerite; mostly rock rock outcrop with surface stone and pockets of clayey soils"
Clifferugga,NORTH-250,"low hills and hills on basalt, agglomerate and tuff, some dolerite; mostly rock rock outcrop with surface stone and pockets of clayey soils"
Cockatoo1,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Cockatoo2,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Cockatoo3,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Cockburn,SOUTH-1M,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Cockburn1,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Cockburn2,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Coghlan,SOUTH-1M,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Coolarno,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Coolibah,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Coolindie,SOUTH-1M,level to undulating sandplains with red sands
Copeman,NORTH-250,seasonally flooded coastal floodplains; inundated 3-6 months; poorly drained clay soils
Cox,NORTH-250,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Cresswell,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Cresswell-K1,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Cresswell-K2,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Creswell,SOUTH-1M,level to gently undulating clay plains (black soil plains); cracking clay soils
Cully,NORTH-250,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Currency,NORTH-250,"low hills and hills mostly on granite, gneiss, rhyolite and some schist; common rock outcrop and surface stone with shallow gritty or stony soils"
Cyperus,NORTH-250,seasonally flooded coastal floodplains; inundated 3-6 months; poorly drained clay soils
Dalglese,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Dalumbu,NORTH-250,"coastal parabolic dunefields, sandplains, beach ridges and beaches; sandy soils"
Daly,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Daly-terrace,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
dam,NORTH-250,seasonally flooded coastal floodplains; inundated 3-6 months; poorly drained clay soils
Darmarl,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Davenport,SOUTH-1M,"rugged ranges on quartzite, sandstone and conglomerate; outcrop with shallow, stony sandy soils"
Deering,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Delny,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Derim,NORTH-250,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Dinkum,SOUTH-1M,level to undulating sandplains with red sands
Dinnabung,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Dinnabung1,NORTH-250,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Dinnabung2,NORTH-250,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Dockrell,SOUTH-1M,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Dockrell1,NORTH-250,"low hills, hills and stony plateaux on sandstone, siltstone, quartzite and conglomerate (deeply weathered in places); outcrop with shallow stony soils"
Dockrell2,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Douglas,NORTH-250,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Downlind,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Downs,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Drylake,SOUTH-1M,level to gently undulating clay plains (black soil plains); cracking clay soils
Dual,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Dundas,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Dune,NORTH-250,"coastal parabolic dunefields, sandplains, beach ridges and beaches; sandy soils"
Durabudboi,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Ebenezer,SOUTH-1M,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Effington,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Elcho,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Elder,SOUTH-1M,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Eleanor,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Elizabeth,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Elliott,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Elsey,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Elsey-Creek,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Emmerugga,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
